Wavelength,n,k
 1146, 1.744244, 0.084598
 1147, 1.744161, 0.084507
 1148, 1.744078, 0.084417
 1149, 1.743995, 0.084327
 1150, 1.743912, 0.084237
 1151, 1.74383, 0.084148
 1152,1.743748, 0.084058
 1153, 1.743666, 0.083969
 1154, 1.743584, 0.08388
 1155, 1.743502,0.083791
 1156, 1.743421, 0.083703
 1157, 1.74334, 0.083614
 1158,1.743259, 0.083526
 1159, 1.743178, 0.083438
 1160, 1.743098, 0.08335
 1161, 1.743018,0.083263
 1162, 1.742938, 0.083175
 1163, 1.742858, 0.083088
 1164, 1.742779, 0.083001
 1165, 1.742699, 0.082914
 1166, 1.74262, 0.082827
 1167,1.742541, 0.082741
 1168, 1.742463, 0.082655
 1169, 1.742384, 0.082569
 1170, 1.742306, 0.082483
 1171, 1.742228, 0.082397
 1172, 1.74215, 0.082312
 1173,1.742072, 0.082226
 1174, 1.741995, 0.082141
 1175, 1.741917, 0.082056
 1176, 1.74184, 0.081971
 1177,1.741764, 0.081887
 1178, 1.741687, 0.081802
 1179, 1.74161, 0.081718
 1180,1.741534, 0.081634
 1181, 1.741458, 0.08155
 1182, 1.741382,0.081467
 1183, 1.741307, 0.081383
 1184, 1.741231, 0.0813
 1185, 1.741156, 0.081217
 1186, 1.741081, 0.081134
 1187, 1.741006, 0.081051
 1188, 1.740932, 0.080969
 1189, 1.740857, 0.080886
 1190, 1.740783, 0.080804
 1191, 1.740709, 0.080722
 1192, 1.740635, 0.08064
 1193, 1.740561,0.080558
 1194, 1.740488, 0.080477
 1195, 1.740415, 0.080396
 1196, 1.740342, 0.080314
 1197, 1.740269, 0.080233
 1198, 1.740196, 0.080153
 1199, 1.740124, 0.080072
 1200, 1.740051, 0.079992
 1201, 1.739979, 0.079911
 1202, 1.739907, 0.079831
 1203, 1.739836, 0.079751
 1204, 1.739764, 0.079671
 1205, 1.739693, 0.079592
 1206, 1.739621, 0.079512
 1207, 1.73955, 0.079433
 1208,1.73948, 0.079354
 1209,1.739409, 0.079275
 1210, 1.739339, 0.079196
 1211, 1.739268, 0.079118
 1212, 1.739198, 0.079039
 1213, 1.739128, 0.078961
 1214, 1.739058, 0.078883
 1215, 1.738989, 0.078805
 1216, 1.738919, 0.078727
 1217, 1.73885, 0.078649
 1218,1.738781, 0.078572
 1219, 1.738712, 0.078495
 1220, 1.738644, 0.078417
 1221, 1.738575, 0.07834
 1222, 1.738507,0.078264
 1223, 1.738439, 0.078187
 1224, 1.738371, 0.07811
 1225, 1.738303,0.078034
 1226, 1.738235, 0.077958
 1227, 1.738168, 0.077882
 1228, 1.738101, 0.077806
 1229, 1.738034, 0.07773
 1230, 1.737967,0.077655
 1231, 1.7379, 0.077579
 1232, 1.737833, 0.077504
 1233, 1.737767, 0.077429
 1234, 1.737701, 0.077354
 1235, 1.737634, 0.077279
 1236, 1.737569, 0.077205
 1237, 1.737503, 0.07713
 1238, 1.737437,0.077056
 1239, 1.737372, 0.076982
 1240, 1.737306, 0.076908
 1241, 1.737241, 0.076834
 1242, 1.737176, 0.07676
 1243, 1.737112,0.076686
 1244, 1.737047, 0.076613
 1245, 1.736983, 0.07654
 1246, 1.736918,0.076466
 1247, 1.736854, 0.076393
 1248, 1.73679, 0.076321
 1249,1.736727, 0.076248
 1250, 1.736663, 0.076175
 1251, 1.736599, 0.076103
 1252, 1.736536, 0.076031
 1253, 1.736473, 0.075959
 1254, 1.73641, 0.075887
 1255,1.736347, 0.075815
 1256, 1.736284, 0.075743
 1257, 1.736222, 0.075672
 1258, 1.736159, 0.0756
