Wavelength,n,k
830 , 1.722891667, 0.030902
831 ,1.722770 , 0.030924667
832 ,1.722649 ,0.030948 
833 ,1.722528 ,0.030971 
834 , 1.722407333, 0.030994
835 ,1.722288 , 0.031016667
836 ,1.722168 ,0.031040 
837 , 1.722048667,0.031063 
838 ,1.721930 ,0.031087 
839 ,1.721812 ,0.031110 
840 ,1.721694 ,0.031133 
841 ,1.721577 , 0.031156333
842 ,1.721459 ,0.031180 
843 ,1.721343 ,0.031203 
844 ,1.721226 ,0.031227 
845 ,1.721111 , 0.031250333
846 ,1.720995 ,0.031274 
847 , 1.720879667,0.031298 
848 ,1.720765 ,0.031322 
849 , 1.720650667,0.031345 
850 ,1.720537 ,0.031369 
851 , 1.720423333, 0.031393
852 ,1.720310 , 0.031416667
853 ,1.720198 ,0.031441 
854 ,1.720085 , 0.031464667
855 , 1.719973,0.031489 
856 , 1.719861333,0.031513 
857 ,1.719750 , 0.031537
858 ,1.719639 , 0.031561333
859 ,1.719529 ,0.031586 
860 ,1.719418 ,0.031610 
861 ,1.719309 ,0.031634 
862 , 1.719199333, 0.031658333
863 ,1.719090 ,0.031683 
864 ,1.718982 ,0.031707 
865 ,1.718873 ,0.031732 
866 , 1.718765,0.031756 
867 , 1.718657667,0.031781 
868 ,1.718550 ,0.031805 
869 ,1.718443 , 0.03183
870 ,1.718336 ,0.031855 
871 ,1.718230 ,0.031879 
872 ,1.718124 ,0.031904 
873 ,1.718019 , 0.031929
874 ,1.717913 , 0.031953667
875 ,1.717809 ,0.031979 
876 ,1.717704 ,0.032003 
877 ,1.717600 ,0.032028 
878 ,1.717496 ,0.032053 
879 ,1.717392 ,0.032079 
880 ,1.717289 ,0.032103 
881 ,1.717186 ,0.032128 
882 ,1.717083 ,0.032154 
883 , 1.716980667,0.032179 
884 ,1.716878 , 0.032204
885 ,1.716777 , 0.032229
886 ,1.716675 , 0.032254333
887 ,1.716574 ,0.032280 
888 ,1.716474 ,0.032305 
