Wavelength,n,k
421, 1.8664375, 0.098712
422,1.8670945, 0.0952145
423,1.8675685,0.091703
424,1.8678625, 0.0881915
425,1.867981,0.0846925
426, 1.867929,0.0812195
427, 1.8677135,0.0777835
428,1.86734,0.0743945
429,1.8668175,0.071062
430,1.866154, 0.067795
431, 1.8653575, 0.0646
432,1.864437, 0.061484
433, 1.8634015, 0.0584525
434,1.8622595,0.055509
435,1.86102, 0.0526575
436,1.8596925,0.0499015
437,1.858284,0.047242
438, 1.856804, 0.04468
439, 1.8552595,0.042217
440,1.8536585, 0.0398525
441,1.8520085,0.0375865
442,1.850315,0.0354165
443, 1.8485855,0.0333435
444,1.846826,0.0313645
445, 1.8450415,0.029477
446,1.843238, 0.0276805
447, 1.841419,0.0259715
448, 1.83959,0.0243475
449,1.8377545,0.022807
450,1.8359165, 0.021346
451,1.834079, 0.0199625
452, 1.832245,0.018653
453, 1.8304175, 0.017416
454,1.8285995, 0.016248
455,1.8267925, 0.0151455
456,1.8249985,0.0141075
457,1.82322,0.01313
458,1.821458,0.0122105
459, 1.819714,0.0113475
460, 1.817989,0.010538
461, 1.8162845, 0.009779
462,1.814601, 0.009069
463, 1.812939, 0.008405
464, 1.8113005, 0.007786
465,1.8096855, 0.007209
466,1.808093, 0.006672
467, 1.8065255, 0.0061735
468,1.8049825,0.005712
469,1.803464, 0.005285
470, 1.80197, 0.0048915
471,1.800502,0.004529
472, 1.799058, 0.0041965
473, 1.79764,0.003893
474,1.796247, 0.0036165
475, 1.7948785,0.003366
476,1.7935355, 0.00314
477,1.792218,0.0029375
478, 1.790925,0.002757
479, 1.789658, 0.002598
480, 1.788415, 0.002459
481, 1.787198, 0.002339
482, 1.7860055, 0.0022375
483,1.784838,0.002153
484, 1.7836965, 0.0020855
485,1.782581,0.002033
486, 1.7814935, 0.001996
487,1.780435, 0.0019685
488, 1.779403,0.001948
489, 1.778394, 0.0019335
490, 1.777408,0.0019255
491, 1.776444,0.0019235
492, 1.775502,0.0019275
493, 1.7745815,0.001937
494,1.773685, 0.0019495
495, 1.7728085,0.001962
496,1.771951, 0.0019755
497, 1.7711105,0.001988
498,1.770286, 0.002001
499, 1.7694765, 0.0020135
500,1.768682,0.002027
501, 1.7679015, 0.00204
502,1.767134,0.002053
503, 1.766379, 0.002066
504, 1.765636, 0.0020795
505, 1.764905,0.0020925
506, 1.764186,0.0021055
507, 1.763477,0.002119
508, 1.7627785, 0.0021325
509,1.7620905,0.0021455
510,1.761412,0.002159
511, 1.7607435, 0.0021725
512,1.760084,0.002186
513, 1.759434, 0.0021995
514, 1.758792,0.0022135
515, 1.7581585,0.002227
516,1.757533, 0.002241
517, 1.7569165, 0.0022545
518,1.756307,0.0022685
519, 1.755705,0.002282
520, 1.7551105, 0.0022965
521,1.7545235,0.00231
522,1.7539435,0.0023245
523,1.75337,0.002338
524,1.7528035, 0.0023525
525,1.752243,0.0023665
526, 1.7516895,0.002381
527,1.751142, 0.002395
528, 1.7506005, 0.0024095
529,1.7500645,0.002424
530,1.749535, 0.0024385
