Wavelength,n,k
798,1.705120667, 0.028190333
799,1.704979,0.028276333
800, 1.704837333,0.028363
801,1.704696667, 0.028449333
802,1.704556667,0.028536
803,1.704416667, 0.028622667
804,1.704277333,0.028709
805,1.704139333, 0.028796
806,1.704001667, 0.028883
807,1.703864333, 0.02897
808,1.703727333,0.029057
809,1.703591333, 0.029144333
810,1.703455667,0.029232
811,1.703320333, 0.029319333
812,1.703186333,0.029406667
813,1.703052667,0.029494333
814,1.702919333,0.029582333
815,1.702786667,0.02967
816,1.702654667,0.029757667
817,1.702523,0.029845667
818, 1.702392,0.029934
819, 1.702261667, 0.030022333
820,1.702131333,0.030110333
821,1.702002333,0.030199
822,1.701873333, 0.030287
823,1.701745333, 0.030375667
824,1.701617667,0.030464667
825,1.701490333,0.030553333
826,1.701363667,0.030642333
827,1.701237667,0.030731
828,1.701112, 0.030820333
829, 1.700986667,0.030909333
830,1.700862,0.030998667
831, 1.700738,0.031088
832, 1.700614667, 0.031177333
833,1.700492,0.031267
834, 1.700369333, 0.031356667
835,1.700247,0.031446333
836, 1.700126,0.031536
837, 1.700005, 0.031626
838, 1.699884667, 0.031715667
839,1.699764667,0.031805667
840,1.699645333,0.031896333
841,1.699526667,0.031986333
842,1.699408,0.032077
843, 1.69929, 0.032167333
844,1.699172667,0.032258
845,1.699056, 0.032348333
846, 1.698939333,0.032439
847,1.698823333, 0.032529667
848,1.698708333,0.032620667
849,1.698593333,0.032711333
850,1.698478667,0.032802667
851,1.698364667,0.032894
852,1.698251333, 0.032985
853,1.698138, 0.033076
854, 1.698025667, 0.033167667
855,1.697914,0.033259333
856, 1.697802333,0.033350667
857,1.697691333,0.033442333
858,1.697580333,0.033534
859,1.69747, 0.033626
860,1.697360667, 0.033717667
861,1.697251,0.03381
862, 1.697142333,0.033901667
863,1.697034333,0.033994333
864,1.696926,0.034086
865, 1.696818667, 0.034178333
866,1.696711667,0.034271
867,1.696605333, 0.034363667
868,1.696499,0.034456
869, 1.696393667, 0.034548667
870,1.696288333,0.034641333
871,1.696183667,0.034734
872,1.696079667, 0.034827
873,1.695976, 0.03492
874, 1.695872333,0.035013
875,1.695769333, 0.035106333
876,1.695666667,0.035199333
877,1.695565,0.035293
878, 1.695463, 0.035386333
879, 1.695362,0.035479667
880, 1.695261333,0.035573333
881,1.695160667,0.035666667
882,1.695061,0.035760333
